"UF","Cidade","Bairro","Link_Cidade","Link_Bairro"
"MG","Belo Horizonte","Aarão Reis","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/aarao-reis-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Acaiaca","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/acaiaca-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Aeroporto","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/aeroporto-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Alípio de Melo","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/alipio-de-melo-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Alto Caiçaras","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/alto-caicaras-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Alto dos Pinheiros","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/alto-dos-pinheiros-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Álvaro Camargos","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/alvaro-camargos-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Alvorada","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/alvorada-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Anchieta","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/anchieta-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Aparecida","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/aparecida-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Aparecida Sétima Seção","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/aparecida-setima-secao-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Araguaia","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/araguaia-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Átila de Paiva","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/atila-de-paiva-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Bandeirantes","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/bandeirantes-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Barreiro","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/barreiro-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Barro Preto","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/barro-preto-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Barroca","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/barroca-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Belmonte","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/belmonte-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Belvedere","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/belvedere-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Betânia","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/betania-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Boa Viagem","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/boa-viagem-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Boa Vista","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/boa-vista-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Bom Jesus","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/bom-jesus-belo-horizonte-mg-brasil"
"MG","Belo Horizonte","Bonfim","https://www.quintoandar.com.br/regioes-atendidas/belo-horizonte-mg-brasil-ed51ux17km","https://www.quintoandar.com.br/alugar/imovel/bonfim-belo-horizonte-mg-brasil"
